REF_DATE,GEO,Labour force characteristics,VALUE
2019-01,Newfoundland and Labrador,Employment,235.5
2019-01,Newfoundland and Labrador,Full-time employment,199.1
2019-01,Newfoundland and Labrador,Part-time employment,36.4
2019-01,Newfoundland and Labrador,Unemployment rate,11.7
2019-01,Newfoundland and Labrador,Participation rate,59.4
2019-01,Newfoundland and Labrador,Employment rate,52.5
2019-01,Prince Edward Island,Employment,76.0
2019-01,Prince Edward Island,Full-time employment,65.1
2019-01,Prince Edward Island,Part-time employment,10.9
2019-01,Prince Edward Island,Unemployment rate,10.1
2019-01,Prince Edward Island,Participation rate,66.5
2019-01,Prince Edward Island,Employment rate,59.8
2019-01,Nova Scotia,Employment,459.9
2019-01,Nova Scotia,Full-time employment,375.5
2019-01,Nova Scotia,Part-time employment,84.4
2019-01,Nova Scotia,Unemployment rate,7.4
2019-01,Nova Scotia,Participation rate,61.8
2019-01,Nova Scotia,Employment rate,57.2
2019-01,New Brunswick,Employment,359.8
2019-01,New Brunswick,Full-time employment,306.3
2019-01,New Brunswick,Part-time employment,53.6
2019-01,New Brunswick,Unemployment rate,8.2
2019-01,New Brunswick,Participation rate,61.4
2019-01,New Brunswick,Employment rate,56.3
2019-01,Quebec,Employment,4272.5
2019-01,Quebec,Full-time employment,3447.9
2019-01,Quebec,Part-time employment,824.6
2019-01,Quebec,Unemployment rate,5.2
2019-01,Quebec,Participation rate,65.0
2019-01,Quebec,Employment rate,61.6
2019-01,Ontario,Employment,7322.6
2019-01,Ontario,Full-time employment,5938.7
2019-01,Ontario,Part-time employment,1383.8
2019-01,Ontario,Unemployment rate,5.6
2019-01,Ontario,Participation rate,65.0
2019-01,Ontario,Employment rate,61.3
2019-01,Manitoba,Employment,661.5
2019-01,Manitoba,Full-time employment,529.3
2019-01,Manitoba,Part-time employment,132.3
2019-01,Manitoba,Unemployment rate,5.9
2019-01,Manitoba,Participation rate,67.9
2019-01,Manitoba,Employment rate,63.9
2019-01,Saskatchewan,Employment,571.4
2019-01,Saskatchewan,Full-time employment,466.7
2019-01,Saskatchewan,Part-time employment,104.6
2019-01,Saskatchewan,Unemployment rate,5.5
2019-01,Saskatchewan,Participation rate,68.8
